dimension;weight
4.0 in x 12.0 in x 4.0 in;4.12 lbs
3.0 in x 3.0 in x 11.3 in;1.0 lbs
;1.9 pounds
;13.6 ounces
4.91 in x 4.91 in x 11.76 in;
;4.7 pounds
;
3.5 in x 3.5 in x 12.25 in;
2.00 in x 2.00 in x 7.25 in;8.8 ounces
3.50 in x 3.50 in x 12.25 in;10 Pounds
;
;
;
;
;
;
;2 pounds
;
3.8 in x 3.8 in x 11.6 in;4.44 lbs
4.0 in x 4.0 in x 12.0 in;4.0 lbs
;
3.5 in x 3.5 in x 12.25 in;2.42 lbs
;
3.35 in x 3.35 in x 11.25 in;
3.6 in x 3.5 in x 12.3 in;
;
;1.1 pounds
;1.2 pounds
;
;
;
7.0 in x 1.8 in x 1.8 in;
;4.8 ounces
;17 pounds
3.25 in x 3.25 in x 11.2 in;
3.60 in x 3.45 in x 12.15 in;
;
;
;
4.44 in x 4.44 in x 12.31 in;
13.938 in x 9.813 in x 12.438 in;
3.3 in x 3.3 in x 11.2 in;2.25 lbs
16.0 in x 11.0 in x 9.5 in;
3.3 in x 3.3 in x 11.15 in;
16.63 in x 12.63 in x 5.5 in;0.23 lbs
;
;14.4 ounces
;1.6 ounces
;
;2.8 pounds
;
7.25 in x 7.25 in x 1.25 in;0.626 lbs
2.08 in x 3.46 in x 6.52 in;
;
;9.6 ounces
8.699 in x 6.5 in x 7.0 in;9.6 ounces
;
;
15.75 in x 5.14 in x 4.88 in;10.4 lbs
;2.81 lbs
;9.6 ounces
3.25 in x 3.25 in x 11.0 in;
4.4 in x 4.45 in x 12.3 in;
;
;1.2 pounds
5.69 in x 4.31 in x 1.13 in;
;
;1.8 pounds
;
;
;2.4 ounces
;
;
3.0 in x 3.12 in x 1.0 in;0.04 lbs
;
;
;
;
;
;
;
;
;
;2 pounds
;32 pounds
;
;
;
;
;
;
23.00 in x 14.50 in x 13.50 in;
;
;
;
;
;
3.74 in x 5.68 in x 7.57 in;
2.38 in x 3.5 in x 8.13 in;0.7 lbs
;
;
;13.6 ounces
;
;
;
;
;
