id;product_fk;categorie;id
372;67;Food & Beverage;372
373;67;Beverages;373
374;67;Wine;374
375;67; Beer & Liquor;375
376;67;Wine;376
377;67;Food;377
378;67;Beer;378
379;67; Wine & Spirits;379
380;68;Food & Beverage;380
381;68;Beverages;381
382;68;Wine;382
383;68; Beer & Liquor;383
384;68;Wine;384
385;68;Food;385
386;68;Beer;386
387;68; Wine & Spirits;387
388;69;Food & Beverage;388
389;69;Beverages;389
390;69;Wine;390
391;69; Beer & Liquor;391
392;69;Wine;392
393;69;Food;393
394;69;Beer;394
395;69; Wine & Spirits;395
396;69;Grocery;396
397;70;Food & Beverage;397
398;70;Beverages;398
399;70;Wine;399
400;70; Beer & Liquor;400
401;70;Wine;401
402;70;Food;402
403;70;Beer;403
404;70; Wine & Spirits;404
405;70;Grocery;405
406;71;Food & Beverage;406
407;71;Beverages;407
408;71;Wine;408
409;71; Beer & Liquor;409
410;71;Spirits;410
411;71;Food;411
412;71;Beer;412
413;71; Wine & Spirits;413
414;72;Food & Beverage;414
415;72;Beverages;415
416;72;Wine;416
417;72; Beer & Liquor;417
418;72;Spirits;418
419;72;Food;419
420;72;Beer;420
421;72; Wine & Spirits;421
422;73;Food & Beverage;422
423;73;Beverages;423
424;73;Wine;424
425;73; Beer & Liquor;425
426;73;Spirits;426
427;73;Malt Drinks;427
428;73;Food;428
429;73;Beer;429
430;73; Wine & Spirits;430
431;74;Food & Beverage;431
432;74;Beverages;432
433;74;Wine;433
434;74; Beer & Liquor;434
435;74;Wine;435
436;74;Food;436
437;74;Beer;437
438;74; Wine & Spirits;438
439;74;Grocery;439
440;75;Food & Beverage;440
441;75;Beverages;441
442;75;Wine;442
443;75; Beer & Liquor;443
444;75;Spirits;444
445;75;Malt Drinks;445
446;75;Food;446
447;75;Beer;447
448;75; Wine & Spirits;448
449;75;Beer;449
450;75;Grocery;450
451;76;Food & Beverage;451
452;76;Beverages;452
453;76;Wine;453
454;76; Beer & Liquor;454
455;76;Wine;455
456;76;Food;456
457;76;Beer;457
458;76; Wine & Spirits;458
459;77;Food & Beverage;459
460;77;Beverages;460
461;77;Wine;461
462;77; Beer & Liquor;462
463;77;Spirits;463
464;77;Food;464
465;77;Beer;465
466;77; Wine & Spirits;466
467;78;Food & Beverage;467
468;78;Beverages;468
469;78;Wine;469
470;78; Beer & Liquor;470
471;78;Spirits;471
472;78;Food;472
473;78;Beer;473
474;78; Wine & Spirits;474
475;79;Food & Beverage;475
476;79;Beverages;476
477;79;Wine;477
478;79; Beer & Liquor;478
479;79;Beer;479
480;79;Food;480
481;79;Beer;481
482;79; Wine & Spirits;482
483;80;Food & Beverage;483
484;80;Beverages;484
485;80;Wine;485
486;80; Beer & Liquor;486
487;80;Beer;487
488;80;Food;488
489;80;Beer;489
490;80; Wine & Spirits;490
491;80;Grocery;491
492;81;Food & Beverage;492
493;81;Beverages;493
494;81;Wine;494
495;81; Beer & Liquor;495
496;81;Spirits;496
497;81;Food;497
498;81;Beer;498
499;81; Wine & Spirits;499
500;82;Food & Beverage;500
501;82;Beverages;501
502;82;Wine;502
503;82; Beer & Liquor;503
504;82;Wine;504
505;82;Food;505
506;82;Beer;506
507;82; Wine & Spirits;507
508;83;Food & Beverage;508
509;83;Beverages;509
510;83;Wine;510
511;83; Beer & Liquor;511
512;83;Wine;512
513;83;Food;513
514;83;Beer;514
515;83; Wine & Spirits;515
516;84;Food & Beverage;516
517;84;Beverages;517
518;84;Wine;518
519;84; Beer & Liquor;519
520;84;Beer;520
521;84;Food;521
522;84;Beer;522
523;84; Wine & Spirits;523
524;85;Food & Beverage;524
525;85;Beverages;525
526;85;Wine;526
527;85; Beer & Liquor;527
528;85;Spirits;528
529;85;Food;529
530;85;Beer;530
531;85; Wine & Spirits;531
532;86;Food & Beverage;532
533;86;Beverages;533
534;86;Wine;534
535;86; Beer & Liquor;535
536;86;Beer;536
537;86;Food;537
538;86;Beer;538
539;86; Wine & Spirits;539
540;86;Grocery;540
541;86;Tea;541
542;86;Tea Samplers;542
543;87;Food & Beverage;543
544;87;Beverages;544
545;87;Wine;545
546;87; Beer & Liquor;546
547;87;Wine;547
548;87;Food;548
549;87;Beer;549
550;87; Wine & Spirits;550
551;88;Food & Beverage;551
552;88;Beverages;552
553;88;Wine;553
554;88; Beer & Liquor;554
555;88;Beer;555
556;88;Food;556
557;88;Beer;557
558;88; Wine & Spirits;558
559;88;Grocery;559
560;89;Food & Beverage;560
561;89;Beverages;561
562;89;Wine;562
563;89; Beer & Liquor;563
564;89;Beer;564
565;89;Food;565
566;89;Beer;566
567;89; Wine & Spirits;567
568;90;Food & Beverage;568
569;90;Beverages;569
570;90;Wine;570
571;90; Beer & Liquor;571
572;90;Beer;572
573;90;Food;573
574;90;Beer;574
575;90; Wine & Spirits;575
576;91;Food & Beverage;576
577;91;Beverages;577
578;91;Wine;578
579;91; Beer & Liquor;579
580;91;Spirits;580
581;91;Malt Drinks;581
582;91;Food;582
583;91;Beer;583
584;91; Wine & Spirits;584
585;91;Wine;585
586;91;Grocery;586
587;92;Food & Beverage;587
588;92;Beverages;588
589;92;Wine;589
590;92; Beer & Liquor;590
591;92;Spirits;591
592;92;Food;592
593;92;Beer;593
594;92; Wine & Spirits;594
595;92;Grocery;595
596;93;Food & Beverage;596
597;93;Beverages;597
598;93;Wine;598
599;93; Beer & Liquor;599
600;93;Wine;600
601;93;Food;601
602;93;Beer;602
603;93; Wine & Spirits;603
604;94;Food & Beverage;604
605;94;Beverages;605
606;94;Wine;606
607;94; Beer & Liquor;607
608;94;Beer;608
609;94;Food;609
610;94;Beer;610
611;94; Wine & Spirits;611
612;94;Grocery;612
613;95;Food & Beverage;613
614;95;Beverages;614
615;95;Wine;615
616;95; Beer & Liquor;616
617;95;Spirits;617
618;95;Food;618
619;95;Beer;619
620;95; Wine & Spirits;620
621;96;Food & Beverage;621
622;96;Beverages;622
623;96;Wine;623
624;96; Beer & Liquor;624
625;96;Spirits;625
626;96;Food;626
627;96;Beer;627
628;96; Wine & Spirits;628
629;97;Food & Beverage;629
630;97;Beverages;630
631;97;Wine;631
632;97; Beer & Liquor;632
633;97;Wine;633
634;97;Food;634
635;97;Beer;635
636;97; Wine & Spirits;636
637;97;Grocery;637
638;98;Food & Beverage;638
639;98;Beverages;639
640;98;Wine;640
641;98; Beer & Liquor;641
642;98;Spirits;642
643;98;Food;643
644;98;Beer;644
645;98; Wine & Spirits;645
646;98;Grocery;646
647;99;Food & Beverage;647
648;99;Beverages;648
649;99;Wine;649
650;99; Beer & Liquor;650
651;99;Wine;651
652;99;Food;652
653;99;Beer;653
654;99; Wine & Spirits;654
655;100;Food & Beverage;655
656;100;Beverages;656
657;100;Wine;657
658;100; Beer & Liquor;658
659;100;Wine;659
660;100;Food;660
661;100;Beer;661
662;100; Wine & Spirits;662
663;101;Food & Beverage;663
664;101;Beverages;664
665;101;Wine;665
666;101; Beer & Liquor;666
667;101;Spirits;667
668;101;Food;668
669;101;Beer;669
670;101; Wine & Spirits;670
671;102;Food & Beverage;671
672;102;Beverages;672
673;102;Wine;673
674;102; Beer & Liquor;674
675;102;Spirits;675
676;102;Food;676
677;102;Beer;677
678;102; Wine & Spirits;678
679;103;Food & Beverage;679
680;103;Beverages;680
681;103;Wine;681
682;103; Beer & Liquor;682
683;103;Beer;683
684;103;Food;684
685;103;Beer;685
686;103; Wine & Spirits;686
687;104;Food & Beverage;687
688;104;Beverages;688
689;104;Wine;689
690;104; Beer & Liquor;690
691;104;Wine;691
692;104;Food;692
693;104;Beer;693
694;104; Wine & Spirits;694
695;105;Food & Beverage;695
696;105;Beverages;696
697;105;Wine;697
698;105; Beer & Liquor;698
699;105;Wine;699
700;105;Food;700
701;105;Beer;701
702;105; Wine & Spirits;702
703;106;Food & Beverage;703
704;106;Beverages;704
705;106;Wine;705
706;106; Beer & Liquor;706
707;106;Wine;707
708;106;Food;708
709;106;Beer;709
710;106; Wine & Spirits;710
711;107;Food & Beverage;711
712;107;Beverages;712
713;107;Wine;713
714;107; Beer & Liquor;714
715;107;Beer;715
716;107;Food;716
717;107;Beer;717
718;107; Wine & Spirits;718
719;108;Food & Beverage;719
720;108;Beverages;720
721;108;Wine;721
722;108; Beer & Liquor;722
723;108;Beer;723
724;108;Food;724
725;108;Beer;725
726;108; Wine & Spirits;726
727;109;Food & Beverage;727
728;109;Beverages;728
729;109;Wine;729
730;109; Beer & Liquor;730
731;109;Beer;731
732;109;Food;732
733;109;Beer;733
734;109; Wine & Spirits;734
735;110;Food & Beverage;735
736;110;Beverages;736
737;110;Wine;737
738;110; Beer & Liquor;738
739;110;Beer;739
740;110;Food;740
741;110;Beer;741
742;110; Wine & Spirits;742
743;111;Food & Beverage;743
744;111;Beverages;744
745;111;Wine;745
746;111; Beer & Liquor;746
747;111;Wine;747
748;111;Food;748
749;111;Beer;749
750;111; Wine & Spirits;750
751;112;Food & Beverage;751
752;112;Beverages;752
753;112;Wine;753
754;112; Beer & Liquor;754
755;112;Wine;755
756;112;Food;756
757;112;Beer;757
758;112; Wine & Spirits;758
759;113;Food & Beverage;759
760;113;Beverages;760
761;113;Wine;761
762;113; Beer & Liquor;762
763;113;Spirits;763
764;113;Food;764
765;113;Beer;765
766;113; Wine & Spirits;766
767;114;Food & Beverage;767
768;114;Beverages;768
769;114;Wine;769
770;114; Beer & Liquor;770
771;114;Wine;771
772;114;Food;772
773;114;Beer;773
774;114; Wine & Spirits;774
775;115;Food & Beverage;775
776;115;Beverages;776
777;115;Wine;777
778;115; Beer & Liquor;778
779;115;Spirits;779
780;115;Food;780
781;115;Beer;781
782;115; Wine & Spirits;782
783;116;Food & Beverage;783
784;116;Beverages;784
785;116;Wine;785
786;116; Beer & Liquor;786
787;116;Wine;787
788;116;Food;788
789;116;Beer;789
790;116; Wine & Spirits;790
791;117;Food & Beverage;791
792;117;Beverages;792
793;117;Wine;793
794;117; Beer & Liquor;794
795;117;Beer;795
796;117;Food;796
797;117;Beer;797
798;117; Wine & Spirits;798
799;118;Food & Beverage;799
800;118;Beverages;800
801;118;Wine;801
802;118; Beer & Liquor;802
803;118;Wine;803
804;118;Home & Garden;804
805;118;Food & Beverages;805
806;118;Alcohol & Alcohol Mixers;806
807;118;Red Wines;807
808;119;Food & Beverage;808
809;119;Beverages;809
810;119;Wine;810
811;119; Beer & Liquor;811
812;119;Wine;812
813;119;Beauty;813
814;119;Oral Care;814
815;119;Toothpaste;815
816;120;Food & Beverage;816
817;120;Beverages;817
818;120;Wine;818
819;120; Beer & Liquor;819
820;120;Beer;820
821;120;Food;821
822;120;Beer;822
823;120; Wine & Spirits;823
824;120;Grocery;824
825;121;Food & Beverage;825
826;121;Beverages;826
827;121;Wine;827
828;121; Beer & Liquor;828
829;121;Wine;829
830;121;Food;830
831;121;Beer;831
832;121; Wine & Spirits;832
833;122;Food & Beverage;833
834;122;Beverages;834
835;122;Wine;835
836;122; Beer & Liquor;836
837;122;Spirits;837
838;122;Food;838
839;122;Beer;839
840;122; Wine & Spirits;840
841;122;Grocery;841
842;123;Food & Beverage;842
843;123;Beverages;843
844;123;Wine;844
845;123; Beer & Liquor;845
846;123;Wine;846
847;123;Food;847
848;123;Beer;848
849;123; Wine & Spirits;849
850;123;Grocery;850
851;124;Food & Beverage;851
852;124;Beverages;852
853;124;Wine;853
854;124; Beer & Liquor;854
855;124;Wine;855
856;124;Food;856
857;124;Beer;857
858;124; Wine & Spirits;858
859;125;Food & Beverage;859
860;125;Beverages;860
861;125;Wine;861
862;125; Beer & Liquor;862
863;125;Wine;863
864;125;Food;864
865;125;Beer;865
866;125; Wine & Spirits;866
867;126;Food & Beverage;867
868;126;Beverages;868
869;126;Wine;869
870;126; Beer & Liquor;870
871;126;Wine;871
872;126;Food;872
873;126;Beer;873
874;126; Wine & Spirits;874
875;126;Red;875
876;127;Food & Beverage;876
877;127;Beverages;877
878;127;Wine;878
879;127; Beer & Liquor;879
880;127;Wine;880
881;127;Food;881
882;127;Beer;882
883;127; Wine & Spirits;883
884;128;Food & Beverage;884
885;128;Beverages;885
886;128;Wine;886
887;128; Beer & Liquor;887
888;128;Wine;888
889;128;Food;889
890;128;Beer;890
891;128; Wine & Spirits;891
892;129;Food & Beverage;892
893;129;Beverages;893
894;129;Wine;894
895;129; Beer & Liquor;895
896;129;Wine;896
897;129;Food;897
